2026-05-19 13:15:47 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:15:47 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:16:37 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:16:39 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:16:39 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:16:39 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:16:40 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:16:40 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:17:33 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:17:34 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:17:34 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:25:22 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:25:26 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:25:26 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:26:50 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:26:53 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:26:53 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:27:34 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:27:36 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:27:36 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:28:19 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:28:21 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:28:21 | INFO     | euslugi | Database tables verified/created.
2026-05-19 13:28:34 | INFO     | euslugi | ━━━ еУслуги API shutting down ━━━
2026-05-19 13:28:36 | INFO     | euslugi | ━━━ еУслуги API starting up ━━━
2026-05-19 13:28:36 | INFO     | euslugi | Database tables verified/created.
